state/州,district/地区,market,commodity_name/名字,min_price,max_price,date,类别+10
1,4,12,19,115,185,528,7
1,2,23,13,55.5,55.6,524,10
1,3,3,19,130.25,161,525,10
1,1,1,19,110,163,525,10
1,4,24,19,137.55,166.55,525,10
1,2,29,19,137.25,171,525,9
1,3,3,30,15,23.25,529,10
1,2,29,13,55,55.3,527,10
1,2,29,13,54.3,55.1,527,10
1,1,28,19,140,159,527,10
1,4,12,1,45.55,125.1,625,10
1,1,28,22,41.5,50.7,527,10
1,4,24,19,132.6,152.3,527,10
2,10,17,2,39,46.2,529,9
1,1,28,13,51.5,54.35,527,9
4,9,16,22,30.25,63.39,524,10
4,9,32,22,25.09,62.1,524,10
1,1,19,22,34,53.5,530,10
1,1,1,13,53.55,54.25,527,10
1,4,24,13,55.5,55.9,527,11
1,2,25,13,55,55.85,527,9
1,2,25,13,55.45,55.85,527,11
1,2,29,13,55.55,56.4,527,10
1,2,29,13,55.4,55.85,527,12
1,4,30,13,55.5,55.75,527,9
1,2,35,13,55.35,55.75,527,10
1,1,1,15,56.25,61,527,10
1,1,1,17,50.25,65.5,527,10
1,3,26,17,49.75,58.5,527,9
4,8,18,18,5,9,527,9
1,1,19,30,18,30.6,530,10
1,1,1,23,48.55,62.55,528,9
1,1,1,22,41.65,52.25,528,10
1,3,26,22,40.5,48.4,528,10
4,9,32,22,11.09,61.99,528,10
1,1,22,27,26,32,528,10
1,1,1,19,123.5,161.45,527,10
4,8,20,11,18,22,527,9
1,2,25,19,145,145,527,10
1,3,26,19,130,156.75,527,10
1,4,11,19,140,155,527,10
1,2,29,19,139,167.5,527,10
1,2,29,19,135,135.65,527,10
1,4,12,19,137.5,173.55,527,8
1,4,24,13,54,54.5,529,9
1,2,25,13,54.25,54.75,529,8
1,2,25,13,54,54.65,529,10
1,1,19,13,48.5,48.5,529,10
1,2,29,13,54,55,529,10
1,2,10,29,75.05,97.45,528,10
1,4,12,29,81.55,107.75,528,10
2,5,5,7,17.61,18.12,529,10
1,1,1,30,18.05,28.8,528,10
1,3,26,30,29,32,528,9
1,1,1,23,51.5,62.8,527,9
1,1,1,22,38.6,51.75,527,10
1,3,26,22,37.25,46.8,527,10
4,9,32,22,31.09,61.86,527,10
1,4,21,9,1,4,529,9
1,4,12,29,88.5,105.55,527,10
1,1,1,30,20.8,30.05,527,9
4,9,34,30,22.75,22.75,527,10
3,6,14,15,59,70,528,10
4,8,18,18,25,34,528,9
4,8,20,18,20,22,528,10
2,5,5,1,82,122,625,12
4,8,18,18,4,6,529,10
2,10,17,7,17,17,610,10
3,6,13,7,16.5,17.9,610,8
3,6,14,1,100,125,625,10
1,4,12,1,45,119.55,701,9
1,3,3,8,75,82,610,12
1,1,19,8,10,10,610,11
4,8,20,25,42,50,528,9
1,4,12,1,47.5,114,706,9
1,4,24,19,145,160.05,529,10
4,8,8,24,72,76,528,9
4,8,8,23,91,100,528,10
1,2,29,19,134.25,166.75,529,10
1,2,29,19,54.8,55.25,529,9
1,4,21,9,3.5,11,610,10
2,5,5,1,89.6,140,628,10
4,8,20,25,40,48,529,10
2,5,5,1,87.6,124,704,10
3,6,14,21,14,63.8,528,10
4,8,20,26,110,120,529,9
2,5,5,29,88,96.5,528,10
1,1,28,19,140.5,160.5,529,10
2,5,5,1,93,112.01,705,10
1,1,28,13,47.5,54,528,9
4,7,15,22,26.15,60.31,528,10
4,9,9,22,29.58,47.5,528,11
4,9,16,22,33.51,60.56,528,10
